region,symbol,entry_time,entry_price,exit_time,exit_price,pnl_pct,holding_bars,reason,strategy_name,note,ml_r3,ml_r6,ml_r12,ml_score,ml_worst,ml_pos_ratio,atr_ratio
CR,KRW-XRP,2025-11-28 21:20:00,3288.0,2025-11-28 23:20:00,3320.0,0.009732360097323601,24,TIMEOUT,CR_MS_STRONG,"CR_MS_ML_OK(score=0.0174,worst=0.0041,pos=1.00,str=STRONG)",0.0041028037667274475,0.02929554507136345,0.022107943892478943,0.017421548254787922,0.0041028037667274475,1.0,0.0028258412311972874
CR,KRW-XRP,2025-11-29 03:20:00,3262.0,2025-11-29 05:20:00,3283.0,0.006437768240343348,24,TIMEOUT,CR_MS_STRONG,"CR_MS_ML_OK(score=0.0181,worst=0.0047,pos=1.00,str=STRONG)",0.004715926945209503,0.02922782674431801,0.023836851119995117,0.018075322918593883,0.004715926945209503,1.0,0.0029078665442301807
CR,KRW-XRP,2025-11-29 06:50:00,3281.0,2025-11-29 08:50:00,3271.0,-0.003047851264858275,24,TIMEOUT,CR_MS_STRONG,"CR_MS_ML_OK(score=0.0109,worst=0.0007,pos=1.00,str=STRONG)",0.0007193684577941895,0.02909388765692711,0.001746848225593567,0.010907320119440555,0.0007193684577941895,1.0,0.0014572820602053245
CR,KRW-XRP,2025-11-29 13:20:00,3272.0,2025-11-29 15:20:00,3261.0,-0.0033618581907090463,24,TIMEOUT,CR_MS_STRONG,"CR_MS_ML_OK(score=0.0162,worst=0.0036,pos=1.00,str=STRONG)",0.00355500727891922,0.027863916009664536,0.019904062151908875,0.016150389052927493,0.00355500727891922,1.0,0.0011791937808446522
CR,KRW-XRP,2025-11-29 20:00:00,3273.0,2025-11-29 21:55:00,3311.0,0.011610143599144515,23,FORCE_CLOSE,CR_MS_STRONG,"CR_MS_ML_OK(score=0.0102,worst=0.0024,pos=1.00,str=STRONG)",0.014012806117534637,0.01141901221126318,0.002419903874397278,0.010206752689555287,0.002419903874397278,1.0,0.0011570031435557107
